Date,Orders,Net_Revenue,Gross_Revenue,Share
2024-01-01,18,933.26,1024.49,0.17
2024-01-03,21,824.37,974.2,0.15
2024-01-04,25,919.49,1066.3,0.17
2024-01-05,23,1190.55,1407.2,0.22
2024-01-06,25,1369.99,1616.2,0.26
2024-01-07,38,1668.41,1964.4,0.31
2024-01-08,27,1158.45,1357.3,0.22
2024-01-10,19,763.48,887.3,0.14
2024-01-11,16,679.88,805.7,0.13
2024-01-12,33,1311.93,1522.6,0.24
2024-01-13,34,2136.43,2488.4,0.4
2024-01-14,34,1755.49,2062.2,0.33
2024-01-15,21,682.13,799.3,0.13
2024-01-17,19,693.3,798.8,0.13
2024-01-18,23,981.78,1139.9,0.18
2024-01-19,33,1407.3,1636.2,0.26
2024-01-20,31,1745.85,2053.8,0.33
2024-01-21,35,1782.54,2077.4,0.33
2024-01-22,23,847.37,1000.1,0.16
2024-01-24,24,821.96,962.4,0.15
2024-01-25,22,749.45,882.6,0.14
2024-01-26,30,1441.34,1690.9,0.27
2024-01-27,45,2693.33,3177.6,0.5
2024-01-28,34,1778.41,2072.9,0.33
2024-01-29,31,1292.99,1526.7,0.24
2024-01-31,29,995.35,1180.3,0.19
2024-02-01,29,1142.89,1319.9,0.21
2024-02-02,35,1888.34,2190.1,0.35
2024-02-03,40,3379.1,3997.9,0.63
2024-02-04,42,1905.49,2242.8,0.35
2024-02-05,24,942.32,1106.7,0.18
2024-02-07,20,712.54,834.1,0.13
2024-02-08,24,932.0,1092.5,0.17
2024-02-09,40,1793.29,2120.6,0.33
2024-02-10,44,2329.15,2749.4,0.43
2024-02-11,45,2196.86,2580.8,0.41
2024-02-12,44,1635.05,1929.4,0.3
2024-02-14,53,2129.96,2506.8,0.4
2024-02-15,29,1452.38,1711.19,0.27
2024-02-16,41,1564.31,1841.1,0.29
2024-02-17,34,1545.51,1795.6,0.29
2024-02-18,40,1805.19,2114.1,0.34
2024-02-19,27,1200.64,1405.1,0.22
2024-02-21,23,1003.65,1168.4,0.19
2024-02-22,29,1327.69,1552.6,0.25
2024-02-23,45,1853.92,2172.69,0.35
2024-02-24,37,2482.16,2934.9,0.46
2024-02-25,45,1948.01,2252.9,0.36
2024-02-26,29,1130.04,1337.2,0.21
2024-02-28,27,956.77,1109.7,0.18
2024-02-29,21,792.27,934.6,0.15
2024-03-01,41,1752.01,2043.4,0.33
2024-03-02,40,1957.95,2295.7,0.36
2024-03-03,52,2305.64,2695.4,0.43
2024-03-04,32,1167.51,1376.6,0.22
2024-03-06,33,1482.33,1752.0,0.28
2024-03-07,40,1504.44,1759.5,0.28
2024-03-08,46,2035.77,2397.2,0.38
2024-03-09,52,2333.86,2738.2,0.43
2024-03-10,45,2165.63,2542.0,0.4
2024-03-11,35,1233.27,1455.1,0.23
2024-03-13,27,920.26,1083.5,0.17
2024-03-14,26,861.33,1006.2,0.16
2024-03-15,39,1614.07,1901.0,0.3
2024-03-16,54,2633.6,3086.1,0.49
2024-03-17,43,1416.1,1642.5,0.26
2024-03-18,31,1151.28,1341.1,0.21
2024-03-20,14,557.89,646.5,0.1
2024-03-21,31,1193.71,1398.8,0.22
2024-03-22,40,2003.58,2357.0,0.37
2024-03-23,42,2615.99,3086.0,0.49
2024-03-24,44,1765.9,2049.4,0.33
2024-03-25,37,1532.76,1807.1,0.29
2024-03-27,38,1759.52,2057.7,0.33
2024-03-28,31,1525.29,1797.6,0.28
2024-03-29,36,2427.13,2875.8,0.45
2024-03-30,19,983.77,1162.3,0.18
2024-03-31,58,3395.21,3978.5,0.63
2024-04-01,41,2200.33,2594.9,0.41
2024-04-03,28,1054.28,1250.0,0.2
2024-04-04,28,1321.45,1554.6,0.25
2024-04-05,43,1557.26,1832.7,0.29
2024-04-06,55,2775.35,3296.6,0.52
2024-04-07,51,2838.88,3345.69,0.53
2024-04-08,37,1412.86,1664.5,0.26
2024-04-10,44,1664.88,1967.8,0.31
2024-04-11,36,1389.14,1619.4,0.26
2024-04-12,47,2261.48,2666.09,0.42
2024-04-13,53,2914.94,3451.1,0.54
2024-04-14,37,2861.33,3363.5,0.53
2024-04-15,24,889.17,1035.8,0.17
2024-04-17,22,1036.42,1232.29,0.19
2024-04-18,31,1953.11,2293.2,0.36
2024-04-19,46,2130.06,2482.7,0.4
2024-04-20,48,2390.93,2806.7,0.45
2024-04-21,42,2215.66,2600.4,0.41
2024-04-22,29,1243.4,1470.0,0.23
2024-04-24,38,1560.23,1840.0,0.29
2024-04-25,32,1267.45,1500.6,0.24
2024-04-26,41,1983.5,2357.6,0.37
2024-04-27,29,2008.81,2388.3,0.37
2024-04-28,47,2531.78,3010.59,0.47
2024-04-29,31,1331.46,1582.9,0.25
2024-05-01,62,2713.94,3229.6,0.51
2024-05-02,37,1471.48,1750.7,0.27
2024-05-03,46,2976.65,3431.3,0.55
2024-05-04,40,1634.28,1944.8,0.3
2024-05-05,38,2218.65,2640.2,0.41
2024-05-06,38,1381.17,1643.2,0.26
2024-05-08,58,2322.4,2750.7,0.43
2024-05-09,66,3903.62,4620.6,0.73
2024-05-10,40,1733.63,2051.3,0.32
2024-05-11,34,1726.67,2046.7,0.32
