Item_Name,Description,Price,Allergens,Additives,Category,Position,Image,Group,Extra1,Extra2,Tax_Rate
Bohnensuppe,griechische Bohnensuppe nach alter Tradition,,,,Suppen,1.0,,,,,ermäßigt
Tomatensuppe,,,,,Suppen,2.0,,,,,ermäßigt
Fleischnudelsuppe,,,,,Suppen,3.0,,,,,ermäßigt
Gemischter Salat,mit Hausdressing,,,,Salate,7.0,,,,,ermäßigt
Tomaten Salat,"mit Tomaten, Gurken, Zwiebeln und Paprika",,,,Salate,8.0,,,,,ermäßigt
Bohnensalat,,,,,Salate,9.0,,,,,ermäßigt
Bauernsalat,"mit Weißkraut, Rotkraut, grünem Salat, Oliven, Peperoni, Schafskäse und Hausdressing",,,,Salate,10.0,,,,,ermäßigt
Hellas Salat,"mit grünem Salat, Gurken, Tomaten, Zwiebeln, Oliven, Paprika, Peperoni, Schafskäse und Olivenöl",,,,Salate,11.0,,,,,ermäßigt
Bunter Salat,"mit Weißkraut, Rotkraut, grünem Salat, Gurken, Tomaten, Zwiebeln, Paprika, Oliven, Peperoni, Schafskäse, Bohnensalat und Olivenöl",,,,Salate,12.0,,,,,ermäßigt
Thunfischsalat,"mit Eisberg, Thunfisch, Tomaten, Gurken, Oliven, Paprika und Olivenöl",,,,Salate,13.0,,,,,ermäßigt
Tarama Salat,pürierte Fischrogen mit Kartoffelcreme,,,,Kalte Vorspeisen,16.0,,,,,ermäßigt
Zaziki,Joghurt-Spezialität mit Gurken und Knoblauch,,,,Kalte Vorspeisen,17.0,,,,,ermäßigt
Chtipiti,pikante Schafskäse Creme,,,,Kalte Vorspeisen,18.0,,,,,ermäßigt
Oktopus Salat,mit einer Knoblauch-Zitronen-Olivenölsauce,,,,Kalte Vorspeisen,19.0,,,,,ermäßigt
Kalamares Salat,mit einer Knoblauch-Zitronen-Olivenölsauce,,,,Kalte Vorspeisen,20.0,,,,,ermäßigt
Oliven und Peperoni,,,,,Kalte Vorspeisen,21.0,,,,,ermäßigt
Feta,griechischer Schafskäse,,,,Kalte Vorspeisen,22.0,,,,,ermäßigt
Skordalia,Kartoffel-Knoblauch-Creme,,,,Kalte Vorspeisen,23.0,,,,,ermäßigt
Gemischte Platte,von Allem etwas,,,,Kalte Vorspeisen,24.0,,,,,ermäßigt
Saganaki,"Schafskäse im Teigmantel, aus der Pfanne",,,,Warme Vorspeisen,28.0,,,,,ermäßigt
Feta Fournou,"Schafskäse natur, aus dem Ofen",,,,Warme Vorspeisen,29.0,,,,,ermäßigt
Ntolmadakia,mit Hack und Reis gefüllte Weinblätter,,,,Warme Vorspeisen,30.0,,,,,ermäßigt
Ntolmadakia (vegetarisch),mit Reis gefüllte Weinblätter,,,,Warme Vorspeisen,31.0,,,,,ermäßigt
Gegrillte Spitzpaprika,mit Zaziki,,,,Warme Vorspeisen,32.0,,,,,ermäßigt
Gegrillter Oktopus,,,,,Warme Vorspeisen,33.0,,,,,ermäßigt
Garnelen (ohne Schale),"aus der Pfanne, mit Gemüse und Knoblauch",,,,Warme Vorspeisen,34.0,,,,,ermäßigt
Champignons Omelette,mit gemischtem Salat und Brot,,,,Omelette,49.0,,,,,ermäßigt
Hellios Platte,"Gyros, 2x Putensteak, 2x Zuzukia und 2x Souvlaki, Bauernsalat, grüne Bohnen, Kartoffeln, Reis, Zaziki",,,,Platten,80.0,,,,,ermäßigt
Lammhaxe mit Auberginen,mit gemischtem Salat und Brot,,,,Lammhaxe,112.0,,,,,ermäßigt
Rindfleisch mit Kritharaki,mit gemischtem Salat und Brot,,,,Rindfleisch,116.0,,,,,ermäßigt
Rindfleisch mit Spaghetti,mit gemischtem Salat und Brot,,,,Rindfleisch,117.0,,,,,ermäßigt
Rindfleisch mit dicken Bohnen,mit gemischtem Salat und Brot,,,,Rindfleisch,118.0,,,,,ermäßigt
